Date,Close/Last,Volume,Open,High,Low
02/20/2025,$113.34,6343805,$112.17,$113.50,$111.96
02/19/2025,$112.49,8268899,$112.44,$113.34,$112.34
02/18/2025,$113.03,7574072,$111.80,$113.36,$111.62
02/14/2025,$112.55,9115007,$112.82,$113.47,$112.03
02/13/2025,$113.00,10046270,$113.12,$113.40,$111.525
02/12/2025,$113.04,7269396,$110.56,$113.185,$110.4002
02/11/2025,$111.03,4683518,$110.88,$112.08,$110.61
02/10/2025,$111.45,8348363,$112.575,$112.58,$111.00
02/07/2025,$112.20,11502400,$111.43,$112.62,$110.06
02/06/2025,$111.70,11967310,$112.05,$112.31,$111.05
02/05/2025,$112.25,12830990,$110.18,$112.42,$109.86
02/04/2025,$110.60,11123740,$108.67,$111.07,$108.13
02/03/2025,$108.16,8894092,$105.72,$108.44,$105.52
01/31/2025,$107.68,19142470,$109.00,$109.36,$107.495
01/30/2025,$109.00,15023030,$109.00,$110.34,$108.03
01/29/2025,$108.58,40769320,$102.70,$110.08,$102.68
01/28/2025,$100.41,14736490,$98.94,$100.68,$98.5901
01/27/2025,$100.02,9654891,$98.52,$100.3299,$98.102
01/24/2025,$98.81,6957146,$97.79,$99.01,$97.62
01/23/2025,$97.99,7901763,$98.00,$98.03,$97.02
01/22/2025,$97.73,7678895,$97.98,$98.535,$97.46
01/21/2025,$97.98,8803122,$95.41,$98.58,$95.41
01/17/2025,$95.13,8362145,$95.58,$95.86,$95.10
01/16/2025,$94.43,6548184,$92.87,$94.7699,$92.87
01/15/2025,$93.08,4554743,$94.10,$94.474,$92.945
01/14/2025,$93.07,6406229,$94.01,$94.89,$92.52
01/13/2025,$93.51,6912144,$92.265,$93.59,$91.375
01/10/2025,$92.25,6550328,$92.19,$92.7922,$91.93
01/08/2025,$92.60,6243744,$92.97,$93.005,$92.0081
01/07/2025,$92.84,6638267,$92.78,$93.65,$91.86
01/06/2025,$93.13,8768050,$92.04,$94.50,$91.94
01/03/2025,$92.58,4966947,$92.40,$93.12,$91.80
01/02/2025,$92.17,8642734,$91.55,$92.66,$91.41
