Date,Close,Volume,Open,High,Low
08/13/2025,$520.58,19619160,$532.11,$532.70,$519.37
08/12/2025,$529.24,18688920,$523.75,$530.98,$522.70
08/11/2025,$521.77,20194370,$522.30,$527.59,$519.72
08/08/2025,$522.04,15531010,$522.60,$524.66,$519.41
08/07/2025,$520.84,16079140,$526.80,$528.09,$517.5511
08/06/2025,$524.94,21355700,$530.90,$531.70,$524.03
08/05/2025,$527.75,19171570,$537.18,$537.30,$527.24
08/04/2025,$535.64,25349000,$528.27,$538.25,$528.13
08/01/2025,$524.11,28977630,$535.00,$535.80,$520.86
07/31/2025,$533.50,51617330,$555.225,$555.45,$531.90
07/30/2025,$513.24,26380430,$515.17,$515.95,$509.435
07/29/2025,$512.57,16469240,$515.53,$517.62,$511.56
07/28/2025,$512.50,14308030,$514.08,$515.00,$510.12
07/25/2025,$513.71,19125700,$512.465,$518.29,$510.3592
07/24/2025,$510.88,16107000,$508.77,$513.67,$507.30
07/23/2025,$505.87,16396590,$506.75,$506.79,$500.70
07/22/2025,$505.27,13868640,$510.97,$511.20,$505.27
07/21/2025,$510.06,14066810,$506.705,$512.09,$505.55
07/18/2025,$510.05,21209670,$514.48,$514.64,$507.43
07/17/2025,$511.70,17503130,$505.68,$513.37,$505.62
07/16/2025,$505.62,15154370,$505.18,$506.72,$501.89
07/15/2025,$505.82,14927200,$503.02,$508.30,$502.79
07/14/2025,$503.02,12058850,$501.515,$503.97,$501.03
07/11/2025,$503.32,16459510,$498.47,$505.03,$497.795
07/10/2025,$501.48,16498740,$503.05,$504.44,$497.75
07/09/2025,$503.51,18659540,$500.30,$506.78,$499.74
07/08/2025,$496.62,11846590,$497.24,$498.20,$494.11
07/07/2025,$497.72,13981610,$497.38,$498.75,$495.225
07/03/2025,$498.84,13984830,$493.81,$500.13,$493.44
07/02/2025,$491.09,16319640,$489.99,$493.50,$488.70
07/01/2025,$492.05,19945380,$496.47,$498.05,$490.98
06/30/2025,$497.41,28368990,$497.04,$500.76,$495.33
06/27/2025,$495.94,34539240,$497.55,$499.30,$493.03
06/26/2025,$497.45,21578850,$492.98,$498.04,$492.81
06/25/2025,$492.27,17495100,$492.04,$494.5556,$489.39
06/24/2025,$490.11,22305640,$488.95,$491.849,$486.795
06/23/2025,$486.00,24863950,$478.21,$487.75,$472.51
06/20/2025,$477.40,37576210,$482.23,$483.46,$476.87
06/18/2025,$480.24,17526450,$478.00,$481.00,$474.46
06/17/2025,$478.04,15414130,$475.395,$478.7399,$474.08
06/16/2025,$479.14,15626100,$475.21,$480.6943,$475.00
06/13/2025,$474.96,16814460,$476.41,$479.18,$472.76
06/12/2025,$478.87,18950580,$475.02,$480.415,$473.52
06/11/2025,$472.62,16399180,$470.02,$475.47,$469.655
06/10/2025,$470.92,15375940,$471.185,$472.80,$466.96
06/09/2025,$472.75,16469930,$469.70,$473.43,$468.62
06/06/2025,$470.38,15285620,$470.085,$473.335,$468.78
06/05/2025,$467.68,20154460,$464.955,$469.65,$464.03
06/04/2025,$463.87,14162690,$464.00,$465.69,$463.0201
06/03/2025,$462.97,15743760,$461.47,$464.14,$460.8622
06/02/2025,$461.97,16626500,$457.14,$462.11,$456.89
05/30/2025,$460.36,34770480,$459.715,$461.68,$455.54
05/29/2025,$458.68,13982210,$461.55,$461.72,$455.3105
05/28/2025,$457.36,17086260,$461.22,$462.52,$456.93
05/27/2025,$460.69,20974290,$456.48,$460.95,$456.115
05/23/2025,$450.18,16883510,$449.98,$453.69,$448.91
05/22/2025,$454.86,18025610,$454.95,$460.25,$453.90
05/21/2025,$452.57,19216910,$454.57,$457.78,$451.814
05/20/2025,$458.17,15441810,$455.59,$458.34,$454.3201
05/19/2025,$458.87,21336510,$450.875,$459.585,$450.80
05/16/2025,$454.27,23849780,$452.05,$454.36,$448.73
05/15/2025,$453.13,21992320,$450.765,$456.19,$450.4301
05/14/2025,$452.94,19902800,$448.14,$453.90,$448.14
05/13/2025,$449.14,23618820,$447.78,$450.6733,$445.36
05/12/2025,$449.26,22821940,$445.94,$449.37,$439.78
05/09/2025,$438.73,15324230,$440.00,$440.74,$435.88
05/08/2025,$438.17,23491330,$437.93,$443.67,$435.66
05/07/2025,$433.35,23307240,$433.84,$438.12,$431.1103
05/06/2025,$433.31,15104200,$432.20,$437.73,$431.17
05/05/2025,$436.17,20136050,$432.87,$439.50,$432.11
05/02/2025,$435.28,30757430,$431.74,$439.44,$429.985
05/01/2025,$425.40,58938100,$431.11,$436.99,$424.90
04/30/2025,$395.26,36461080,$390.30,$396.66,$384.44
04/29/2025,$394.04,14973980,$391.30,$395.10,$390.38
04/28/2025,$391.16,16579430,$391.955,$392.74,$386.638
04/25/2025,$391.85,18973170,$387.00,$392.16,$384.60
04/24/2025,$387.30,22232290,$375.695,$388.45,$375.19
04/23/2025,$374.39,20545530,$376.06,$380.39,$373.02
04/22/2025,$366.82,19484990,$363.375,$367.77,$359.8602
04/21/2025,$359.12,20807280,$362.815,$364.48,$355.67
04/17/2025,$367.78,21120190,$373.745,$374.3215,$366.89
04/16/2025,$371.61,21967830,$380.67,$381.61,$368.00
04/15/2025,$385.73,17199890,$388.505,$391.89,$384.1599
04/14/2025,$387.81,19251170,$393.22,$394.65,$384.21
04/11/2025,$388.45,23839220,$380.635,$390.05,$378.89
04/10/2025,$381.35,38024370,$382.06,$383.90,$367.80
04/09/2025,$390.49,50199700,$353.535,$393.225,$353.10
04/08/2025,$354.56,35868920,$368.255,$373.65,$350.25
04/07/2025,$357.86,50425000,$350.88,$370.9999,$344.79
04/04/2025,$359.84,49209850,$364.125,$374.59,$359.48
04/03/2025,$373.11,30198000,$374.785,$377.48,$369.35
04/02/2025,$382.14,16092560,$377.965,$385.08,$376.62
04/01/2025,$382.19,19689500,$374.65,$382.85,$373.23
03/31/2025,$375.39,35184680,$372.535,$377.07,$367.24
03/28/2025,$378.80,21632020,$388.08,$389.13,$376.93
03/27/2025,$390.58,13766760,$390.13,$392.24,$387.395
03/26/2025,$389.97,16132910,$395.00,$395.31,$388.57
03/25/2025,$395.16,15774970,$393.915,$396.36,$392.64
03/24/2025,$393.08,21004550,$395.40,$395.40,$389.81
03/21/2025,$391.26,39675930,$383.215,$391.74,$382.80
03/20/2025,$386.84,18470540,$385.735,$391.785,$383.28
03/19/2025,$387.82,19185530,$385.525,$389.68,$384.00
03/18/2025,$383.52,19486850,$387.07,$387.37,$381.10
03/17/2025,$388.70,22474270,$386.70,$392.705,$385.57
03/14/2025,$388.56,19952850,$379.775,$390.23,$379.51
03/13/2025,$378.77,20473020,$383.155,$385.32,$377.45
03/12/2025,$383.27,24253570,$382.95,$385.2165,$378.9507
03/11/2025,$380.45,30380180,$379.00,$386.00,$376.91
03/10/2025,$380.16,32840130,$385.84,$386.40,$377.22
03/07/2025,$393.31,22034090,$392.32,$394.80,$385.54
03/06/2025,$396.89,23304630,$394.28,$402.15,$392.6777
03/05/2025,$401.02,23433130,$389.34,$401.67,$388.81
03/04/2025,$388.61,29342920,$383.40,$392.58,$381.00
03/03/2025,$388.49,23007730,$398.82,$398.82,$386.155
02/28/2025,$396.99,32845660,$392.655,$397.63,$386.57
02/27/2025,$392.53,21127410,$401.265,$405.74,$392.17
02/26/2025,$399.73,19618950,$398.01,$403.60,$394.245
02/25/2025,$397.90,29387400,$401.10,$401.915,$396.70
02/24/2025,$404.00,26443660,$408.51,$409.37,$399.32
02/21/2025,$408.21,27524800,$417.335,$418.048,$407.89
02/20/2025,$416.13,23508730,$415.29,$419.31,$412.54
02/19/2025,$414.77,24114200,$407.88,$415.49,$407.65
02/18/2025,$409.64,21423050,$408.00,$410.597,$406.50
02/14/2025,$408.43,22758460,$407.79,$408.91,$405.88
02/13/2025,$410.54,23891730,$407.00,$411.00,$406.36
02/12/2025,$409.04,19121730,$407.21,$410.75,$404.3673
02/11/2025,$411.44,18140590,$409.64,$412.49,$409.30
02/10/2025,$412.22,20817920,$413.71,$415.4624,$410.92
02/07/2025,$409.75,22886840,$416.48,$418.65,$408.10
02/06/2025,$415.82,16309760,$414.00,$418.20,$414.00
02/05/2025,$413.29,16336190,$412.35,$413.827,$410.40
02/04/2025,$412.37,20532100,$412.685,$413.9199,$409.74
02/03/2025,$410.92,25679150,$411.60,$415.41,$408.66
01/31/2025,$415.06,34223390,$418.98,$420.69,$414.91
01/30/2025,$414.99,54586260,$418.77,$422.86,$413.16
01/29/2025,$442.33,23581370,$446.69,$446.88,$440.40
01/28/2025,$447.20,23491700,$434.60,$448.38,$431.38
01/27/2025,$434.56,35647810,$424.01,$435.20,$423.50
01/24/2025,$444.06,15549450,$445.16,$446.65,$441.40
01/23/2025,$446.71,18389270,$442.00,$446.75,$441.5048
01/22/2025,$446.20,27803810,$437.56,$447.27,$436.00
01/21/2025,$428.50,26085700,$430.20,$430.8999,$425.595
01/17/2025,$429.03,26197510,$434.085,$434.48,$428.17
01/16/2025,$424.58,15300020,$428.695,$429.49,$424.39
01/15/2025,$426.31,19637840,$419.13,$428.15,$418.265
01/14/2025,$415.67,16935860,$417.81,$419.74,$410.72
01/13/2025,$417.19,17604780,$415.235,$418.50,$412.29
01/10/2025,$418.95,20201130,$424.63,$424.71,$415.02
01/08/2025,$424.56,15054580,$423.46,$426.97,$421.54
01/07/2025,$422.37,18139070,$429.00,$430.65,$420.80
01/06/2025,$427.85,20573650,$428.00,$434.32,$425.4774
01/03/2025,$423.35,16662940,$421.08,$424.03,$419.54
01/02/2025,$418.58,16896470,$425.53,$426.07,$414.85
